"sentence","related_fact"
"Binary search works only when decisions form a monotonic pattern.","Each comparison discards candidates that cannot contain the answer."
"Binary search can find the first position satisfying a condition.","The loop must preserve that every removed index is impossible."
"Binary search over answers converts optimization into repeated feasibility checks.","The feasibility test must become consistently true or false across values."
"A closed interval binary search must update boundaries carefully.","Wrong boundary updates can skip the only valid candidate."
"An open interval search often simplifies first valid position logic.","Sentinel boundaries represent impossible positions outside the real array."
"Binary search on sorted arrays assumes random access to middle elements.","Linked lists make middle access linear and destroy logarithmic benefit."
"The midpoint should avoid overflow in fixed width integer languages.","Subtracting before adding keeps the computed index within range."
"Binary search can return any matching duplicate unless adjusted.","Finding boundaries requires continuing after a successful comparison."
"Lower bound finds the earliest index not smaller than a target.","Upper bound finds the earliest index strictly greater than a target."
"Binary search termination depends on shrinking the search interval every step.","A non shrinking interval can create an infinite loop."
"Rotated sorted arrays need identifying which half remains ordered.","The target can only be searched inside a valid ordered range."
"Peak search works when a slope direction guarantees a peak.","Moving toward a larger neighbor preserves existence of a peak."
"Binary search on real numbers needs iteration limits or precision thresholds.","Exact equality is unreliable with floating point comparisons."
"Parametric search depends on proving answer space monotonicity.","Without monotonicity binary search may discard the correct region."
"Binary search is logarithmic in the number of candidate positions.","The check cost multiplies the total running time."
"A successful binary search proof tracks kept and discarded regions.","The answer must always remain inside the maintained search space."
"Searching insertion position is a boundary problem not equality search.","The returned index may equal the array length."
"Binary search can be applied to prefix based feasibility values.","The prefix property must not switch back after becoming valid."
"Duplicates can hide the sorted half in rotated search.","Equal boundaries may force linear progress in the worst case."
"Binary search is efficient because it halves uncertainty repeatedly.","Halving needs ordered information not merely stored data."
"A monotonic stack keeps candidates in a useful sorted order.","Elements removed from the stack can never become future answers."
"Increasing stacks help locate previous smaller relationships.","The stack top is the nearest surviving candidate by position."
"Decreasing stacks help locate previous greater relationships.","Discarded smaller elements are dominated by the current larger element."
"Monotonic stack algorithms usually scan each element once.","Every element is pushed once and popped at most once."
"The stack stores indices when distances or positions matter.","Values alone lose information needed for span lengths."
"A sentinel value can simplify empty stack edge cases.","Sentinels must not violate the ordering invariant."
"Monotonic stacks are powerful for nearest neighbor queries.","They answer local dominance questions without nested scanning."
"Choosing strict or non strict comparison controls duplicate behavior.","Equal values need a deliberate rule to avoid ambiguity."
"A stack invariant should be true after every iteration.","Popping restores the invariant before inserting the current element."
"Circular array stack logic often scans twice conceptually.","Modulo indexing can revisit positions without duplicating storage."
"Monotonic stacks trade extra space for faster dominance queries.","The auxiliary stack uses linear space in the worst case."
"Right to left scans reveal next relationships on the right.","Left to right scans reveal previous relationships on the left."
"A popped element has found the first stronger element in scan direction.","The current element is nearest because intervening candidates were removed."
"Stack based span calculations depend on previous blocking positions.","The distance to the blocker gives the valid range length."
"Monotonic stacks fail when comparisons are not transitive.","Ordering must support safe domination between elements."
"Histogram style reasoning uses bars as boundaries of influence.","A smaller bar ends the expansion of taller bars."
"Many stack problems require storing unresolved candidates.","Resolution happens when a future element breaks their condition."
"The stack order is about values while iteration order gives position.","Both pieces together encode nearest dominance information."
"Monotonic stack proofs rely on dominated elements never returning.","Once popped an element cannot beat the new candidate later."
"A monotonic queue extends the same idea to sliding windows.","Removing expired indices maintains validity of the window."
"Sliding windows maintain information over a moving contiguous range.","The window changes incrementally instead of recomputing from scratch."
"Fixed size windows update by adding one item and removing one item.","This keeps each window transition constant time."
"Variable size windows need a condition that guides shrinking.","Without a clear condition the window may miss valid ranges."
"Sliding windows work best when expanding only worsens or improves predictably.","Monotonic behavior tells when the left boundary can move."
"Frequency maps let windows track character or value counts.","Updating counts must handle zero entries consistently."
"A valid window invariant should be checked after each boundary move.","The invariant defines exactly what the stored state means."
"Two pointer windows usually process every element a constant number of times.","This gives linear time despite nested looking loops."
"Shrinking a window can restore a violated constraint.","Expansion explores new candidates while contraction removes stale influence."
"Minimum window style tasks require updating answers after validity.","Recording too early can save invalid ranges."
"Maximum window style tasks often update after expansion.","The best answer may appear before a later shrink."
"Sliding windows require contiguous subarrays or substrings.","Non contiguous choices usually need different dynamic techniques."
"Negative numbers can break sum based window monotonicity.","Prefix sums handle arbitrary signs more reliably."
"A fixed window sum can be maintained with one rolling variable.","Subtracting the outgoing value preserves exact window total."
"Window boundaries should have clear inclusive or exclusive meaning.","Mixed conventions create off by one length errors."
"Counting distinct elements needs both frequencies and active distinct count.","The distinct count changes only when frequency crosses zero."
"A window can store aggregated values if updates are reversible.","Non reversible summaries may require queues or additional structures."
"Sliding windows are not just two indices moving randomly.","Their movement is justified by an invariant and monotonic condition."
"Deque based windows maintain best candidates for each range.","Expired indices must be removed before trusting the front."
"Window algorithms trade memory for fast constraint checking.","The stored state should answer validity without rescanning."
"A good window proof explains why skipped ranges cannot be optimal.","Boundary movement must not discard a better unseen answer."
"Two pointers reduce search by moving boundaries with purpose.","Each movement should eliminate a set of impossible pairs."
"Opposite direction pointers often exploit sorted order.","Sorted comparisons reveal which side cannot help anymore."
"Same direction pointers are common in partitioning tasks.","The slow pointer marks the boundary of processed valid data."
"Two pointers can remove duplicates after sorting.","Skipping equal neighbors prevents repeated equivalent results."
"Fast and slow pointers detect structure in linked lists.","Different speeds expose cycles through repeated node meetings."
"Two pointer merging combines sorted sequences in linear time.","The next output always comes from the smaller current candidate."
"Partition algorithms maintain regions with known properties.","The unknown region shrinks until every element is classified."
"Two pointers are useful when choices depend on two ends.","Moving the worse side can preserve possible improvements."
"Sorted two sum style reasoning relies on monotonic pair sums.","Increasing the left pointer raises the sum while decreasing right lowers it."
"Two pointers can avoid quadratic checking in ordered data.","The ordering must justify discarding many pairs at once."
"Stable partitioning is harder than simple two pointer swapping.","Preserving order may require extra memory or shifting."
"A slow pointer can compact arrays in place.","It writes only values that should remain."
"Fast pointers explore while slow pointers record progress.","This separation avoids overwriting unread input."
"Two pointers need careful crossing conditions.","Processing after crossing can duplicate or invalidate pairs."
"Linked list middle search uses fast and slow traversal.","Fast reaching the end leaves slow near the middle."
"Pair counting with two pointers often counts ranges at once.","One comparison can imply many valid pairs in sorted arrays."
"Two pointers are not limited to arrays.","They apply whenever traversal positions can eliminate choices."
"Choosing which pointer moves is the core correctness argument.","A wrong movement can skip the only valid answer."
"Two pointer methods often use constant extra space.","They may require sorting which changes total complexity."
"Boundary conventions make pointer code easier to verify.","Clear meanings prevent missing first or last elements."
"Linked lists support efficient insertion after a known node.","Finding that node still requires traversal from a reference."
"Singly linked lists cannot move backward without extra storage.","Reverse traversal requires recursion stack or pointer reversal."
"A dummy head simplifies deletion near the front.","It gives every real node a predecessor."
"Reversing a linked list changes pointers one edge at a time.","The next pointer must be saved before rewiring."
"Cycle detection works by comparing node identities not values.","Repeated values do not imply repeated nodes."
"Fast and slow pointers meet if a cycle exists.","Inside a cycle relative speed closes the distance."
"Linked list length is not available without traversal.","Many algorithms spend linear time just counting nodes."
"Deleting a node needs access to its previous node.","Otherwise the incoming link cannot be updated directly."
